user_id,submission_count,problem_solved,contribution,country,follower_count,last_online_time_seconds,max_rating,rating,rank,registration_time_seconds,user_attempts_median,user_attempts_min,user_attempts_max,user_attempts_count,user_attempts_iqr
user_1,84,73,10,Bangladesh,120,1505162220,502.00699999999995,499.713,advanced,1469108674,1.0,1.0,3.0,60.0,0.0
user_10,246,211,0,None,30,1505079658,326.548,313.36,intermediate,1472038187,1.0,1.0,3.0,51.0,0.0
user_100,642,574,27,Iran,106,1505073569,458.42900000000003,385.894,intermediate,1323974332,1.0,1.0,5.0,57.0,0.0
user_1000,259,235,0,India,41,1505579889,371.273,336.583,intermediate,1450375392,1.0,1.0,3.0,55.0,0.0
user_1001,554,492,-6,Moldova,55,1504521879,472.19,450.975,intermediate,1423399585,1.0,1.0,6.0,58.0,0.0
user_1002,127,108,0,Italy,7,1503094370,393.06199999999995,393.06199999999995,intermediate,1466579214,2.0,1.0,6.0,39.0,0.0
user_1003,14,14,0,None,0,1492588755,361.525,359.51800000000003,intermediate,1483011057,1.0,1.0,3.0,11.0,0.0
user_1004,310,287,1,None,14,1505136075,455.275,430.619,intermediate,1464745715,1.5,1.0,6.0,48.0,0.0
user_1005,332,301,3,India,27,1505583060,401.376,401.376,intermediate,1446652801,1.0,1.0,6.0,50.0,0.0
user_1006,5,3,0,None,1,1484905281,315.94,292.144,beginner,1473183931,1.0,1.0,1.0,2.0,0.0
user_1007,10,7,0,None,0,1496783149,317.947,288.41700000000003,beginner,1471844577,2.0,1.0,3.0,5.0,0.020000000000000018
user_1008,731,713,0,China,15,1503315289,480.218,460.436,advanced,1422291009,1.0,1.0,4.0,72.0,0.0
user_1009,2055,1979,94,Russia,273,1505579987,717.89,652.236,expert,1326870136,1.0,1.0,4.0,105.0,0.0
user_101,9,6,0,None,0,1503307023,357.798,350.917,intermediate,1472153151,1.0,1.0,2.0,5.0,0.0
user_1010,458,438,0,Brazil,32,1505579846,402.236,391.62800000000004,intermediate,1456331185,1.0,1.0,6.0,60.0,0.0
user_1011,110,89,0,Russia,6,1505576864,305.619,256.594,beginner,1455974167,2.0,1.0,6.0,53.0,0.0
user_1012,467,426,0,Syria,20,1505561248,340.88300000000004,320.814,intermediate,1445184109,2.0,1.0,6.0,31.0,0.0
user_1013,408,370,0,China,10,1505095822,511.755,497.70599999999996,advanced,1446297892,2.0,1.0,6.0,29.0,0.0
user_1014,116,74,13,Bangladesh,27,1504624406,359.805,252.58,beginner,1385264039,1.0,1.0,6.0,29.0,0.0
user_1015,238,217,0,India,8,1505579889,306.47900000000004,241.972,beginner,1445241644,2.0,1.0,6.0,47.0,0.0
user_1016,21,10,0,None,0,1505475582,317.087,142.489,beginner,1446658510,1.0,1.0,4.0,8.0,0.0
user_1017,373,357,-2,Kazakhstan,24,1498467892,311.067,252.86700000000002,beginner,1434426983,1.0,1.0,4.0,89.0,0.0
user_1018,1028,994,8,Romania,90,1505494887,528.956,483.37199999999996,advanced,1380897615,2.0,1.0,6.0,46.0,0.0
user_1019,199,177,0,None,10,1505416002,342.03,342.03,intermediate,1454348076,1.0,1.0,4.0,70.0,0.0
user_102,3,2,0,None,0,1488127708,316.8,284.117,beginner,1479308022,2.0,2.0,2.0,1.0,0.0
user_1020,406,359,-3,India,24,1505319447,341.74300000000005,330.849,intermediate,1440245016,2.0,1.0,5.0,41.0,0.0
user_1021,6,5,0,None,0,1484563062,317.947,261.755,beginner,1480815691,2.0,2.0,2.0,1.0,0.0
user_1022,100,93,0,India,2,1505579737,368.406,367.259,intermediate,1439900550,1.0,1.0,4.0,61.0,0.0
user_1023,833,768,17,Jordan,167,1505579841,594.323,568.521,advanced,1456853006,1.0,1.0,6.0,72.0,0.0
